9
0 0 0
0 1 8.94427190999916
0 2 6.708203932499369
0 3 0.0
0 4 5.385164807134504
0 5 10.295630140987
0 6 9.433981132056603
0 7 5.656854249492381
0 8 1.0
1 0 8.94427190999916
1 1 0
1 2 2.23606797749979
1 3 8.94427190999916
1 4 6.082762530298219
1 5 1.4142135623730951
1 6 5.0
1 7 4.0
1 8 8.54400374531753
2 0 6.708203932499369
2 1 2.23606797749979
2 2 0
2 3 6.708203932499369
2 4 4.47213595499958
2 5 3.605551275463989
2 6 5.0990195135927845
2 7 2.23606797749979
2 8 6.324555320336759
3 0 0.0
3 1 8.94427190999916
3 2 6.708203932499369
3 3 0
3 4 5.385164807134504
3 5 10.295630140987
3 6 9.433981132056603
3 7 5.656854249492381
3 8 1.0
4 0 5.385164807134504
4 1 6.082762530298219
4 2 4.47213595499958
4 3 5.385164807134504
4 4 0
4 5 7.0
4 6 4.242640687119285
4 7 2.23606797749979
4 8 4.47213595499958
5 0 10.295630140987
5 1 1.4142135623730951
5 2 3.605551275463989
5 3 10.295630140987
5 4 7.0
5 5 0
5 6 5.0
5 7 5.0990195135927845
5 8 9.848857801796104
6 0 9.433981132056603
6 1 5.0
6 2 5.0990195135927845
6 3 9.433981132056603
6 4 4.242640687119285
6 5 5.0
6 6 0
6 7 4.123105625617661
6 8 8.602325267042627
7 0 5.656854249492381
7 1 4.0
7 2 2.23606797749979
7 3 5.656854249492381
7 4 2.23606797749979
7 5 5.0990195135927845
7 6 4.123105625617661
7 7 0
7 8 5.0
8 0 1.0
8 1 8.54400374531753
8 2 6.324555320336759
8 3 1.0
8 4 4.47213595499958
8 5 9.848857801796104
8 6 8.602325267042627
8 7 5.0
8 8 0
